ID	Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	HPMR.Ligand	HPMR.Receptor	PMID.Manual	Pair.Source	Pair.Evidence
1227	HBEGF_CD82	HBEGF	heparin-binding EGF-like growth factor	CD82	CD82 molecule	NA	NA	NA	HPRD	NA	NA	HBEGF	CD82	NA	novel	literature supported
1228	HBEGF_CD9	HBEGF	heparin-binding EGF-like growth factor	CD9	CD9 molecule	NA	NA	NA	HPRD	STRING.binding	NA	HBEGF	CD9	NA	novel	literature supported
1229	HBEGF_EGFR	HBEGF	heparin-binding EGF-like growth factor	EGFR	epidermal growth factor receptor	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	NA	HBEGF	EGFR	NA	known	literature supported
1230	HBEGF_ERBB2	HBEGF	heparin-binding EGF-like growth factor	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	NA	NA	NA	NA	STRING.binding	NA	HBEGF	ERBB2	12958167	novel	literature supported
1231	HBEGF_ERBB4	HBEGF	heparin-binding EGF-like growth factor	ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	NA	HBEGF	ERBB4	NA	known	literature supported
1232	HBEGF_PRLR	HBEGF	heparin-binding EGF-like growth factor	PRLR	prolactin receptor	NA	NA	NA	NA	STRING.binding	NA	HBEGF	PRLR	NA	novel	putative
1233	HCRT_HCRTR1	HCRT	hypocretin (orexin) neuropeptide precursor	HCRTR1	hypocretin (orexin) receptor 1	NA	HPMR	IUPHAR	HPRD	STRING.binding	NA	HCRT	HCRTR1	NA	known	literature supported
1234	HCRT_HCRTR2	HCRT	hypocretin (orexin) neuropeptide precursor	HCRTR2	hypocretin (orexin) receptor 2	NA	HPMR	IUPHAR	HPRD	NA	NA	HCRT	HCRTR2	NA	known	literature supported
1235	HCRT_NPFFR2	HCRT	hypocretin (orexin) neuropeptide precursor	NPFFR2	neuropeptide FF receptor 2	NA	NA	NA	HPRD	NA	NA	HCRT	NPFFR2	NA	novel	literature supported
1240	HEBP1_FPR3	HEBP1	heme binding protein 1	FPR3	formyl peptide receptor 3	NA	NA	IUPHAR	NA	STRING.binding	NA	NA	FPRL2	NA	known	literature supported
1241	HGF_CD44	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	CD44	CD44 molecule (Indian blood group)	NA	NA	NA	NA	STRING.binding	NA	HGF	CD44	10037743	novel	literature supported
1242	HGF_MET	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	MET	met proto-oncogene	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	HGF	MET	NA	known	literature supported
1243	HGF_SDC1	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	SDC1	syndecan 1	NA	NA	NA	HPRD	STRING.binding	NA	HGF	SDC1	NA	novel	literature supported
1244	HGF_SDC2	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	SDC2	syndecan 2	NA	NA	NA	HPRD	NA	NA	HGF	SDC2	NA	novel	literature supported
1245	HGF_ST14	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	ST14	suppression of tumorigenicity 14 (colon carcinoma)	NA	NA	NA	HPRD	NA	NA	HGF	NA	NA	novel	literature supported
1246	HHIPL2_CACHD1	HHIPL2	HHIP-like 2	CACHD1	cache domain containing 1	NA	NA	NA	NA	STRING.binding	NA	NA	NA	NA	novel	putative
1247	HHLA3_CHRM3	HHLA3	HERV-H LTR-associating 3	CHRM3	cholinergic receptor, muscarinic 3	NA	NA	NA	NA	STRING.binding	NA	NA	CHRM3	NA	novel	putative
1248	HLA-A_APLP2	HLA-A	major histocompatibility complex, class I, A	APLP2	amyloid beta (A4) precursor-like protein 2	NA	NA	NA	HPRD	NA	NA	HLA-A	NA	NA	novel	literature supported
1249	HLA-A_CD3D	HLA-A	major histocompatibility complex, class I, A	CD3D	CD3d molecule, delta (CD3-TCR complex)	NA	NA	NA	NA	STRING.binding	NA	HLA-A	NA	NA	novel	putative
1250	HLA-A_CD3G	HLA-A	major histocompatibility complex, class I, A	CD3G	CD3g molecule, gamma (CD3-TCR complex)	NA	NA	NA	NA	STRING.binding	NA	HLA-A	CD3G	NA	novel	putative
1251	HLA-A_ERBB2	HLA-A	major histocompatibility complex, class I, A	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	NA	NA	NA	HPRD	STRING.binding	NA	HLA-A	ERBB2	NA	novel	literature supported
1252	HLA-A_KIR2DL1	HLA-A	major histocompatibility complex, class I, A	KIR2DL1	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1	NA	NA	NA	NA	STRING.binding	NA	HLA-A	KIR2DL1	NA	novel	putative
1253	HLA-A_KIR2DL3	HLA-A	major histocompatibility complex, class I, A	KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	NA	NA	NA	NA	STRING.binding	NA	HLA-A	KIR2DL3	NA	novel	putative
1254	HLA-A_KIR3DL1	HLA-A	major histocompatibility complex, class I, A	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	NA	NA	NA	NA	STRING.binding	NA	HLA-A	KIR3DL1	17182537	novel	literature supported
1255	HLA-A_KIR3DL2	HLA-A	major histocompatibility complex, class I, A	KIR3DL2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	NA	HPMR	NA	HPRD	STRING.binding	NA	HLA-A	KIR3DL2	NA	known	literature supported
1256	HLA-A_LILRB1	HLA-A	major histocompatibility complex, class I, A	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	NA	NA	NA	HPRD	STRING.binding	STRING.experiment	HLA-A	LILRB1	NA	novel	literature supported
1257	HLA-A_LILRB2	HLA-A	major histocompatibility complex, class I, A	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	NA	NA	NA	HPRD	STRING.binding	STRING.experiment	HLA-A	LILRB2	NA	novel	literature supported
1258	HLA-B_CANX	HLA-B	major histocompatibility complex, class I, B	CANX	calnexin	NA	NA	NA	NA	NA	NA	NA	NA	7876141	novel	literature supported
1259	HLA-B_CD3D	HLA-B	major histocompatibility complex, class I, B	CD3D	CD3d molecule, delta (CD3-TCR complex)	NA	NA	NA	NA	STRING.binding	NA	HLA-B	NA	NA	novel	putative
1260	HLA-B_CD3G	HLA-B	major histocompatibility complex, class I, B	CD3G	CD3g molecule, gamma (CD3-TCR complex)	NA	NA	NA	NA	STRING.binding	NA	HLA-B	CD3G	NA	novel	putative
1261	HLA-B_KIR2DL3	HLA-B	major histocompatibility complex, class I, B	KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	NA	NA	NA	NA	STRING.binding	NA	HLA-B	KIR2DL3	NA	novel	putative
1262	HLA-B_KIR3DL1	HLA-B	major histocompatibility complex, class I, B	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	NA	HPMR	NA	HPRD	STRING.binding	NA	HLA-B	KIR3DL1	NA	known	literature supported
1263	HLA-B_KLRD1	HLA-B	major histocompatibility complex, class I, B	KLRD1	killer cell lectin-like receptor subfamily D, member 1	NA	NA	NA	HPRD	NA	NA	HLA-B	KLRD1	NA	novel	literature supported
1264	HLA-B_LILRB1	HLA-B	major histocompatibility complex, class I, B	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	NA	NA	NA	HPRD	NA	NA	HLA-B	LILRB1	NA	novel	literature supported
1265	HLA-B_LILRB2	HLA-B	major histocompatibility complex, class I, B	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	NA	NA	NA	HPRD	STRING.binding	NA	HLA-B	LILRB2	NA	novel	literature supported
1266	HLA-C_CD3D	HLA-C	major histocompatibility complex, class I, C	CD3D	CD3d molecule, delta (CD3-TCR complex)	NA	NA	NA	NA	STRING.binding	NA	HLA-C	NA	NA	novel	putative
1267	HLA-C_CD3G	HLA-C	major histocompatibility complex, class I, C	CD3G	CD3g molecule, gamma (CD3-TCR complex)	NA	NA	NA	NA	STRING.binding	NA	HLA-C	CD3G	NA	novel	putative
1268	HLA-C_DDR1	HLA-C	major histocompatibility complex, class I, C	DDR1	discoidin domain receptor tyrosine kinase 1	NA	NA	NA	NA	STRING.binding	NA	HLA-C	DDR1	NA	novel	putative
1269	HLA-C_KIR2DL1	HLA-C	major histocompatibility complex, class I, C	KIR2DL1	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	HLA-C	KIR2DL1	NA	known	literature supported
1270	HLA-C_KIR2DL3	HLA-C	major histocompatibility complex, class I, C	KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	HLA-C	KIR2DL3	NA	known	literature supported
1271	HLA-C_KIR2DS4	HLA-C	major histocompatibility complex, class I, C	KIR2DS4	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4	NA	HPMR	NA	HPRD	NA	NA	HLA-C	KIR2DS4	NA	known	literature supported
1272	HLA-C_KIR3DL1	HLA-C	major histocompatibility complex, class I, C	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	NA	NA	NA	NA	STRING.binding	NA	HLA-C	KIR3DL1	NA	novel	putative
1273	HLA-C_LILRA3	HLA-C	major histocompatibility complex, class I, C	LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	NA	NA	NA	NA	STRING.binding	NA	HLA-C	LILRA3	21270408	novel	literature supported
1274	HLA-C_LILRB1	HLA-C	major histocompatibility complex, class I, C	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	NA	NA	NA	HPRD	NA	NA	HLA-C	LILRB1	NA	novel	literature supported
1275	HLA-C_LILRB2	HLA-C	major histocompatibility complex, class I, C	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	NA	NA	NA	HPRD	NA	NA	HLA-C	LILRB2	NA	novel	literature supported
1276	HLA-C_NOTCH4	HLA-C	major histocompatibility complex, class I, C	NOTCH4	notch 4	NA	NA	NA	NA	STRING.binding	NA	HLA-C	NOTCH4	NA	novel	putative
1277	HLA-C_SLC9C2	HLA-C	major histocompatibility complex, class I, C	SLC9C2	solute carrier family 9, member C2 (putative)	NA	NA	NA	NA	STRING.binding	NA	HLA-C	NA	NA	novel	putative
1278	HLA-E_KIR3DL1	HLA-E	major histocompatibility complex, class I, E	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	NA	NA	NA	NA	STRING.binding	NA	HLA-E	KIR3DL1	NA	novel	putative
1279	HLA-E_KLRC1	HLA-E	major histocompatibility complex, class I, E	KLRC1	killer cell lectin-like receptor subfamily C, member 1	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	HLA-E	KLRC1	NA	known	literature supported
1280	HLA-E_KLRC2	HLA-E	major histocompatibility complex, class I, E	KLRC2	killer cell lectin-like receptor subfamily C, member 2	NA	HPMR	NA	HPRD	NA	NA	HLA-E	KLRC2	NA	known	literature supported
1281	HLA-E_KLRD1	HLA-E	major histocompatibility complex, class I, E	KLRD1	killer cell lectin-like receptor subfamily D, member 1	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	HLA-E	KLRD1	NA	known	literature supported
1282	HLA-E_SLC16A4	HLA-E	major histocompatibility complex, class I, E	SLC16A4	solute carrier family 16, member 4	NA	NA	NA	NA	STRING.binding	NA	HLA-E	NA	NA	novel	putative
1283	HLA-G_CD4	HLA-G	major histocompatibility complex, class I, G	CD4	CD4 molecule	NA	NA	NA	NA	STRING.binding	NA	HLA-G	NA	NA	novel	putative
1284	HLA-G_KIR2DL4	HLA-G	major histocompatibility complex, class I, G	KIR2DL4	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4	NA	HPMR	NA	HPRD	NA	NA	HLA-G	KIR2DL4	NA	known	literature supported
1285	HLA-G_KLRC1	HLA-G	major histocompatibility complex, class I, G	KLRC1	killer cell lectin-like receptor subfamily C, member 1	NA	HPMR	NA	NA	NA	NA	HLA-G	KLRC1	NA	known	literature supported
1286	HLA-G_KLRD1	HLA-G	major histocompatibility complex, class I, G	KLRD1	killer cell lectin-like receptor subfamily D, member 1	NA	HPMR	NA	HPRD	NA	NA	HLA-G	KLRD1	NA	known	literature supported
1287	HLA-G_LILRB1	HLA-G	major histocompatibility complex, class I, G	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	HLA-G	LILRB1	NA	known	literature supported
1288	HLA-G_LILRB2	HLA-G	major histocompatibility complex, class I, G	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	NA	NA	NA	HPRD	STRING.binding	STRING.experiment	HLA-G	LILRB2	NA	novel	literature supported
1289	HMGB1_SDC1	HMGB1	high mobility group box 1	SDC1	syndecan 1	NA	NA	NA	NA	NA	NA	NA	NA	1369684	novel	literature supported
1290	HMGB1_THBD	HMGB1	high mobility group box 1	THBD	thrombomodulin	NA	NA	NA	NA	NA	NA	NA	NA	15841214	novel	literature supported
1291	HP_ASGR1	HP	haptoglobin	ASGR1	asialoglycoprotein receptor 1	NA	NA	NA	NA	STRING.binding	NA	NA	ASGR1	NA	novel	putative
1292	HP_ASGR2	HP	haptoglobin	ASGR2	asialoglycoprotein receptor 2	NA	NA	NA	NA	STRING.binding	NA	NA	ASGR2	NA	novel	putative
1293	HP_ITGAM	HP	haptoglobin	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	NA	NA	NA	HPRD	NA	NA	NA	ITGAM	NA	novel	literature supported
1294	HP_ITGB2	HP	haptoglobin	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	NA	NA	NA	HPRD	NA	NA	NA	ITGB2	NA	novel	literature supported
1295	HRAS_AGTR1	HRAS	Harvey rat sarcoma viral oncogene homolog	AGTR1	angiotensin II receptor, type 1	NA	NA	NA	HPRD	NA	NA	HRAS	AGTR1	NA	novel	literature supported
1296	HRAS_CAV1	HRAS	Harvey rat sarcoma viral oncogene homolog	CAV1	caveolin 1, caveolae protein, 22kDa	NA	NA	NA	HPRD	STRING.binding	NA	HRAS	NA	NA	novel	literature supported
1297	HRAS_GRIN2D	HRAS	Harvey rat sarcoma viral oncogene homolog	GRIN2D	glutamate receptor, ionotropic, N-methyl D-aspartate 2D	NA	NA	NA	HPRD	NA	NA	HRAS	NA	NA	novel	literature supported
1298	HRAS_INSR	HRAS	Harvey rat sarcoma viral oncogene homolog	INSR	insulin receptor	NA	NA	NA	HPRD	NA	NA	HRAS	INSR	NA	novel	literature supported
1299	HRAS_SDC2	HRAS	Harvey rat sarcoma viral oncogene homolog	SDC2	syndecan 2	NA	NA	NA	NA	STRING.binding	NA	HRAS	SDC2	NA	novel	putative
1300	HRAS_TLR2	HRAS	Harvey rat sarcoma viral oncogene homolog	TLR2	toll-like receptor 2	NA	NA	NA	HPRD	NA	NA	HRAS	TLR2	NA	novel	literature supported
1301	HRAS_TLR9	HRAS	Harvey rat sarcoma viral oncogene homolog	TLR9	toll-like receptor 9	NA	NA	NA	HPRD	NA	NA	HRAS	TLR9	NA	novel	literature supported
1302	HRG_FCGR1A	HRG	histidine-rich glycoprotein	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	NA	NA	NA	HPRD	NA	NA	NA	NA	NA	novel	literature supported
1303	HSP90AA1_CFTR	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	NA	NA	NA	NA	NA	NA	NA	NA	9843494	novel	literature supported
1304	HSP90AA1_EGFR	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	EGFR	epidermal growth factor receptor	NA	NA	NA	NA	NA	NA	NA	NA	18199556	novel	literature supported
1305	HSP90AA1_FGFR3	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	FGFR3	fibroblast growth factor receptor 3	NA	NA	NA	NA	NA	NA	NA	NA	21487019	novel	literature supported
1316	HSPG2_CHRM3	HSPG2	heparan sulfate proteoglycan 2	CHRM3	cholinergic receptor, muscarinic 3	NA	NA	NA	NA	STRING.binding	NA	HSPG2	CHRM3	NA	novel	putative
1317	HSPG2_COL13A1	HSPG2	heparan sulfate proteoglycan 2	COL13A1	collagen, type XIII, alpha 1	NA	NA	NA	HPRD	NA	NA	HSPG2	NA	NA	novel	literature supported
1318	HSPG2_ITGA2	HSPG2	heparan sulfate proteoglycan 2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	NA	NA	HPRD	NA	NA	HSPG2	ITGA2	NA	novel	literature supported
1319	HSPG2_ITGB1	HSPG2	heparan sulfate proteoglycan 2	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	HPRD	NA	NA	HSPG2	ITGB1	NA	novel	literature supported
1320	HSPG2_PTPRS	HSPG2	heparan sulfate proteoglycan 2	PTPRS	protein tyrosine phosphatase, receptor type, S	NA	HPMR	NA	NA	NA	NA	HSPG2	PTPRS	NA	known	literature supported
1321	HSPG2_SDC1	HSPG2	heparan sulfate proteoglycan 2	SDC1	syndecan 1	NA	NA	NA	NA	STRING.binding	NA	HSPG2	SDC1	NA	novel	putative
1322	IAPP_CALCR	IAPP	islet amyloid polypeptide	CALCR	calcitonin receptor	NA	HPMR	IUPHAR	NA	NA	NA	IAPP	CALCR	NA	known	literature supported
1323	IAPP_RAMP1	IAPP	islet amyloid polypeptide	RAMP1	receptor (G protein-coupled) activity modifying protein 1	NA	NA	NA	HPRD	NA	NA	IAPP	RAMP1	NA	novel	literature supported
1324	IAPP_RAMP2	IAPP	islet amyloid polypeptide	RAMP2	receptor (G protein-coupled) activity modifying protein 2	NA	NA	NA	HPRD	NA	NA	IAPP	RAMP2	NA	novel	literature supported
1325	IAPP_RAMP3	IAPP	islet amyloid polypeptide	RAMP3	receptor (G protein-coupled) activity modifying protein 3	NA	NA	NA	NA	STRING.binding	NA	IAPP	RAMP3	NA	novel	putative
1326	IBSP_ITGAV	IBSP	integrin-binding sialoprotein	ITGAV	integrin, alpha V	NA	NA	NA	NA	STRING.binding	NA	NA	ITGAV	NA	novel	putative
1327	ICAM1_CAV1	ICAM1	intercellular adhesion molecule 1	CAV1	caveolin 1, caveolae protein, 22kDa	NA	NA	NA	NA	STRING.binding	NA	ICAM1	NA	NA	novel	putative
1328	ICAM1_EGFR	ICAM1	intercellular adhesion molecule 1	EGFR	epidermal growth factor receptor	NA	NA	NA	HPRD	NA	NA	ICAM1	EGFR	NA	novel	literature supported
1329	ICAM1_IL2RA	ICAM1	intercellular adhesion molecule 1	IL2RA	interleukin 2 receptor, alpha	NA	NA	NA	HPRD	NA	NA	ICAM1	IL2RA	NA	novel	literature supported
1330	ICAM1_IL2RG	ICAM1	intercellular adhesion molecule 1	IL2RG	interleukin 2 receptor, gamma	NA	NA	NA	HPRD	NA	NA	ICAM1	IL2RG	NA	novel	literature supported
1331	ICAM1_ITGAL	ICAM1	intercellular adhesion molecule 1	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	NA	HPMR	NA	NA	STRING.binding	STRING.experiment	ICAM1	ITGAL	NA	known	literature supported
1332	ICAM1_ITGAM	ICAM1	intercellular adhesion molecule 1	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	NA	NA	NA	HPRD	STRING.binding	STRING.experiment	ICAM1	ITGAM	NA	novel	literature supported
1333	ICAM1_ITGAX	ICAM1	intercellular adhesion molecule 1	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	NA	HPMR	NA	NA	STRING.binding	NA	ICAM1	ITGAX	NA	known	literature supported
1334	ICAM1_ITGB2	ICAM1	intercellular adhesion molecule 1	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	ICAM1	ITGB2	NA	known	literature supported
1335	ICAM2_ITGAL	ICAM2	intercellular adhesion molecule 2	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	NA	HPMR	NA	NA	NA	NA	ICAM2	ITGAL	NA	known	literature supported
1336	ICAM2_ITGAM	ICAM2	intercellular adhesion molecule 2	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	NA	NA	NA	HPRD	NA	NA	ICAM2	ITGAM	NA	novel	literature supported
1337	ICAM2_ITGB2	ICAM2	intercellular adhesion molecule 2	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	NA	HPMR	NA	HPRD	NA	NA	ICAM2	ITGB2	NA	known	literature supported
1338	ICAM3_CLEC4M	ICAM3	intercellular adhesion molecule 3	CLEC4M	C-type lectin domain family 4, member M	NA	NA	NA	HPRD	STRING.binding	NA	ICAM3	CLEC4M	NA	novel	literature supported
1339	ICAM3_ITGAD	ICAM3	intercellular adhesion molecule 3	ITGAD	integrin, alpha D	NA	NA	NA	HPRD	NA	NA	ICAM3	ITGAD	NA	novel	literature supported
1340	ICAM3_ITGAL	ICAM3	intercellular adhesion molecule 3	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	ICAM3	ITGAL	NA	known	literature supported
1341	ICAM3_ITGB2	ICAM3	intercellular adhesion molecule 3	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	NA	HPMR	NA	HPRD	STRING.binding	NA	ICAM3	ITGB2	NA	known	literature supported
1342	ICAM4_ITGA2B	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	NA	HPMR	NA	NA	NA	NA	ICAM4	ITGA2B	NA	known	literature supported
1343	ICAM4_ITGA4	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	NA	NA	NA	HPRD	NA	NA	ICAM4	ITGA4	NA	novel	literature supported
1344	ICAM4_ITGAL	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	NA	HPMR	NA	NA	STRING.binding	NA	ICAM4	ITGAL	NA	known	literature supported
1345	ICAM4_ITGAM	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	NA	HPMR	NA	HPRD	STRING.binding	NA	ICAM4	ITGAM	NA	known	literature supported
1346	ICAM4_ITGAV	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGAV	integrin, alpha V	NA	HPMR	NA	HPRD	NA	NA	ICAM4	ITGAV	NA	known	literature supported
1347	ICAM4_ITGB1	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	HPRD	NA	NA	ICAM4	ITGB1	NA	novel	literature supported
1348	ICAM4_ITGB2	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	NA	HPMR	NA	HPRD	STRING.binding	NA	ICAM4	ITGB2	NA	known	literature supported
1349	ICAM4_ITGB3	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	NA	HPMR	NA	NA	NA	NA	ICAM4	ITGB3	NA	known	literature supported
1350	ICAM4_RHAG	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	RHAG	Rh-associated glycoprotein	NA	NA	NA	HPRD	NA	NA	ICAM4	NA	NA	novel	literature supported
1351	ICAM5_ITGAL	ICAM5	intercellular adhesion molecule 5, telencephalin	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	ICAM5	ITGAL	NA	known	literature supported
1352	ICAM5_ITGB2	ICAM5	intercellular adhesion molecule 5, telencephalin	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	NA	HPMR	NA	HPRD	NA	NA	ICAM5	ITGB2	NA	known	literature supported
1353	IFNA10_IFNAR1	IFNA10	interferon, alpha 10	IFNAR1	interferon (alpha, beta and omega) receptor 1	DLRP	NA	NA	NA	NA	NA	NA	IFNAR1	21856167	known	literature supported
1354	IFNA10_IFNAR2	IFNA10	interferon, alpha 10	IFNAR2	interferon (alpha, beta and omega) receptor 2	DLRP	NA	NA	NA	NA	NA	NA	IFNAR2	21856167	known	literature supported
1355	IFNA13_IFNAR1	IFNA13	interferon, alpha 13	IFNAR1	interferon (alpha, beta and omega) receptor 1	DLRP	NA	NA	NA	NA	NA	NA	IFNAR1	21856167	known	literature supported
1356	IFNA13_IFNAR2	IFNA13	interferon, alpha 13	IFNAR2	interferon (alpha, beta and omega) receptor 2	DLRP	NA	NA	NA	NA	NA	NA	IFNAR2	21856167	known	literature supported
1357	IFNA14_IFNAR1	IFNA14	interferon, alpha 14	IFNAR1	interferon (alpha, beta and omega) receptor 1	DLRP	NA	NA	NA	STRING.binding	NA	NA	IFNAR1	21856167	known	literature supported
1358	IFNA14_IFNAR2	IFNA14	interferon, alpha 14	IFNAR2	interferon (alpha, beta and omega) receptor 2	DLRP	NA	NA	NA	STRING.binding	NA	NA	IFNAR2	21856167	known	literature supported
1359	IFNA16_IFNAR1	IFNA16	interferon, alpha 16	IFNAR1	interferon (alpha, beta and omega) receptor 1	DLRP	NA	NA	NA	STRING.binding	NA	NA	IFNAR1	21856167	known	literature supported
1360	IFNA16_IFNAR2	IFNA16	interferon, alpha 16	IFNAR2	interferon (alpha, beta and omega) receptor 2	DLRP	NA	NA	NA	STRING.binding	NA	NA	IFNAR2	21856167	known	literature supported
1361	IFNA17_IFNAR1	IFNA17	interferon, alpha 17	IFNAR1	interferon (alpha, beta and omega) receptor 1	DLRP	NA	NA	NA	NA	NA	NA	IFNAR1	21856167	known	literature supported
1362	IFNA17_IFNAR2	IFNA17	interferon, alpha 17	IFNAR2	interferon (alpha, beta and omega) receptor 2	DLRP	NA	NA	NA	NA	NA	NA	IFNAR2	21856167	known	literature supported
1363	IFNA1_IFNAR1	IFNA1	interferon, alpha 1	IFNAR1	interferon (alpha, beta and omega) receptor 1	DLRP	HPMR	NA	HPRD	NA	NA	IFNA1	IFNAR1	NA	known	literature supported
1364	IFNA1_IFNAR2	IFNA1	interferon, alpha 1	IFNAR2	interferon (alpha, beta and omega) receptor 2	DLRP	HPMR	NA	NA	NA	NA	IFNA1	IFNAR2	NA	known	literature supported
1365	IFNA21_IFNAR1	IFNA21	interferon, alpha 21	IFNAR1	interferon (alpha, beta and omega) receptor 1	DLRP	NA	NA	NA	NA	NA	NA	IFNAR1	21856167	known	literature supported
